SitePatch,SpeciesID,Elevation,PercentCanopyCover,MicroSlope,MicroAspect,MacroSlope,MacroAspect,AvgLitterDepth,AvgDepthO,AvgDepthA ,AvgDepthB,AvgSoilDepth,pH,Ompct,P,K,Ca,Mg,Zn,B,Mn,Cu,Fe,Al,Na,S,ExchAcid,ECEC,CaBaseSat,MgBaseSat,KBaseSat,Pb,Ni,Cd,Cr
1.1,P,231,85.44,30,110,27,102,4,3.75,13,NA,27,4.8,3.965,2.4,36,154,25,1.55,0.2,10.3,0.2,24.9,343,9,20,7.06,1.07,9.47,2.56,1.14,NA,NA,NA,NA
1.2,P,224.59,88.82,31,102,29,108,2,2.75,7,10.16,27.3,4.89,6.24,2.05,60,406,74,8.2,0.25,49.8,0.2,27.6,125,87,17,6.39,2.8,22.09,6.71,1.67,NA,NA,NA,NA
2.1,P,384,88.82,5,211,7.5,90,2.8,3.25,10,NA,5.625,6.1,8.606,1.1,34,2010,89,3.6,0.15,30,0.1,2.5,25,13,6,2.71,10.88,73.96,5.46,0.64,NA,NA,NA,NA
2.2,P,379,87.26,7,179,10,292,1.25,2.5,5.9,4.9,7.2,6.06,4.966,1.05,34,1525,67,3,0.2,12.4,0.15,5.2,79,9,9,2.28,8.27,72.25,5.29,0.83,NA,NA,NA,NA
3.1,P,594,85.7,3,70,15,94,3.5,3,13.66,7,10,5.47,11.518,1.1,24,458,40,2.25,0.1,21.2,0.4,7.2,549,12,14,7.38,2.68,22.75,3.31,0.61,NA,NA,NA,NA
4.1,P,575,87.52,24,76,22,70,2.5,1.3125,7.875,9.3,11.3125,5.82,4.966,0.9,44,989,128,2.05,0.15,12.9,0.1,9.5,60,6,4,2.96,6.12,54.44,11.74,1.24,NA,NA,NA,NA
4.2,P,562,86.22,19,82,18,66,2.5,0.875,7.285714286,7.07,17.4,5.85,5.33,0.95,32,1407,109,2.7,0.15,16.5,0.15,4.4,25,7,4,2.8,8.03,64.99,8.39,0.76,NA,NA,NA,NA
5.1,V,263,74.78,36,148,60,130,1.5,1.25,3.093,NA,3.766666667,6.72,13.884,3.5,60,531,1806,1.05,0.8,13.9,0.1,1.9,4,10,6,1.8,17.86,13.51,76.56,0.78,0.65,3.9,0.1,0.3
5.2,V,269,83.36,24,64,26,50,4,2.15,3.75,2.5,6.227272727,5.62,13.793,3.2,81,464,1363,5.1,0.25,34.8,0.1,9,15,12,8,5.26,13.89,12.12,59.34,1.08,0.7,9.9,0.15,0.45
5.3,A&V,265.2,77.64,5,140,38,151,2.571428571,1.5,3.642857143,1,4.857142857,5.65,20.163,3.5,87,401,1415,2.15,0.1,18,0.1,27.2,19,11,8,6.51,14.02,9.76,57.43,1.09,1.25,7.2,0.1,0.75
6.1,P,463,89.08,42,84,39,90,1.5,2.25,5.4,NA,5.85,5.62,17.342,3,86,1125,813,8.55,0.2,71.7,0.1,6.7,27,17,14,6.05,12.62,30.13,36.29,1.18,0.1,7.05,0.2,0.1
6.2,A&V,420,71.14,44,173,54,175,3.791666667,1.1,2.818181818,NA,3.3,5.6,31.265,5.55,82,543,1240,3,0.15,11,0.05,4.1,4,11,7,8.94,13.26,12.23,46.55,0.95,0.8,2.8,0.1,0
6.3,V,428,75.04,49,129,52,108,2.44,2.66,3.3,NA,4.22,6.53,20.527,2.75,92,514,2030,0.95,0.35,13.5,0.05,4.6,3,7,5,3.78,19.72,10.93,71.97,1,0.65,11.1,0.1,0
6.4,V,453,76.86,43,118,60,110,2.8125,3.666666667,3.333333333,,4.75,6.29,39.819,7.25,75,935,2034,4.15,0.55,13.3,0.05,2.1,2,16,9,8.58,21.82,15.38,55.76,0.63,0.7,9,0.1,0
6.5,A,450.7991856,84.66,16,344,49,240,2.11,2.22,3.75,NA,5.11,5.79,29.809,2.2,92,497,1544,1.25,0.2,28.2,0.1,13.1,5,29,7,8.05,15.59,10.51,54.44,1,1.55,10.35,0.1,0.05
7.1,P,429,90.64,42,110,37,108,3.25,2,2.9,NA,3.786,5.35,18.252,1.4,78,1399,213,11.55,0.15,37.2,0.15,10.8,108,8,12,7.4,8.97,42.72,10.84,1.22,NA,NA,NA,NA
8.1,A,301.4,82.58,20,288,37,288,0,3.66,4.33,NA,4.4,6.73,13.884,4.2,67,290,1923,1.3,0.6,10,0.05,3.8,4,11,7,1.77,17.65,7.47,82.55,0.88,0.35,13.3,0.1,0.05
8.2,A,296.3,67.24,50,260,53,270,2.416666667,2.5,2.166666667,NA,3.791666667,5.26,41.002,4.5,77,402,1003,3.25,0.1,18.4,0.1,6.6,4,11,7,12.05,10.57,8.89,36.96,0.87,2.55,4.3,0.1,0.05
8.3,A,282.8,85.7,0,0,38,0,0.6875,0.8182,NA,NA,2.5,6.71,22.802,3.65,82,444,1854,0.6,0.4,12.8,0.05,4.1,2,9,7,3.7,17.88,10.29,71.61,0.97,0.8,6.05,0.1,0.05
8.4,A,279.1,85.44,0,250,44,250,2.166666667,NA,NA,NA,3.944,6.52,26.442,4.9,108,461,1353,0.35,0.3,17.6,0.1,5.2,3,18,8,5.05,13.86,12.19,59.62,1.46,1.8,5.55,0.15,0.05
8.5,V,287.4,58.66,33,281,49,274,1.857,2.25,2.25,NA,2.73,5.49,38.727,7.85,117,370,953,2.6,0.1,18.4,0.1,4.2,2,16,8,10.85,10.09,8.84,37.93,1.43,1.45,4.05,0.1,0.05
8.6,V,291.4,81.8,30,0,29,0,1.7,2.6,4.5,4.4,12.6,6.14,6.968,1.5,34,217,1378,2.45,0.15,16.1,0.05,4.4,6,8,4,2.16,12.66,7.32,77.5,0.59,0.35,9.6,0.1,0.1
9.1,V,423.6666667,83.88,4,350,11,354,2.9375,2.6875,3.214285714,2.5,7.25,6.31,28.899,5.65,91,361,1868,3.05,0.25,21,0.05,2.3,4,12,9,6.23,17.61,7.57,65.31,0.98,0.5,10.5,0.15,0.1
9.2,A,364.845588,58.4,42,258,45,270,1.916666667,1.6667,2.333333333,3,4.5,6.4,28.899,4.7,86,394,1501,0.75,0.35,11.2,0.05,2.5,2,8,7,5.94,14.7,9.54,60.6,1.07,0.9,3,0.1,0.1
9.3,V,309.98,85.18,15,298,14,309,1.785714286,3.3,3.25,6.666666667,11.71428571,5.94,14.157,2.15,33,247,1234,1.8,0.1,8.8,0.05,2.8,7,8,5,4.3,11.6,7.77,64.66,0.53,0.75,6.85,0.1,0.05
9.4,3x,352.16,71.14,42,275,36,285,1.95,1.944444444,2.1,NA,3.3,5.36,53.287,12.85,125,836,993,3.35,0.1,13.2,0.05,3.8,5,9,9,14.32,12.78,15.43,30.54,1.18,3.5,2.8,0.1,0.1
10.1,V,392.5823874,66.2,5,0,6,0,1.75,2.375,10.875,5.5,38.1,7.04,7.15,1.75,52,358,1213,0.95,0.25,7.6,0.55,2.2,31,8,4,0,12.03,14.88,84.01,1.11,0.05,0.95,0.05,0.05
10.2,A&V,434.6447861,85.44,33,250,25,257,2.625,2.8125,2.857142857,1.125,5.875,6.63,19.799,3.4,53,661,1282,0.75,0.3,7.6,0.1,3.2,4,11,7,3.32,14.12,18.95,61.24,0.78,0.3,3,0.05,0.1
10.3,P,391.6679875,83.62,18,273,20,270,2.1,3.8,4.4,11.7,20,6.69,8.515,3.55,61,1183,923,5.6,0.25,18.4,0.05,2.6,6,8,7,0.77,13.76,40.7,52.92,1.08,0.05,5.95,0.25,0.1
